Package,File,Line,CC
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/BOGD.java,284,13
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/CSKLRBatch.java,242,13
jsat.classifiers.linear,/classifiers/linear/SDCA.java,64,87 (highest 24)
jsat.classifiers.linear,/classifiers/linear/SDCA.java,382,24
jsat.classifiers.linear,/classifiers/linear/SCW.java,325,16
jsat.classifiers.linear,/classifiers/linear/NHERD.java,241,14
jsat.classifiers.linear,/classifiers/linear/BBR.java,334,26
jsat.classifiers.linear,/classifiers/linear/StochasticMultinomialLogisticRegression.java,35,88 (highest 32)
jsat.classifiers.linear,/classifiers/linear/StochasticMultinomialLogisticRegression.java,553,32
jsat.classifiers.linear,/classifiers/linear/LinearL1SCD.java,107,11
jsat.classifiers.linear,/classifiers/linear/LinearL1SCD.java,217,12
jsat.classifiers.linear,/classifiers/linear/LinearBatch.java,260,13
jsat.classifiers.linear,/classifiers/linear/SMIDAS.java,131,10
jsat.classifiers.linear,/classifiers/linear/SMIDAS.java,285,12
jsat.classifiers.linear,/classifiers/linear/NewGLMNET.java,59,112 (highest 59)
jsat.classifiers.linear,/classifiers/linear/NewGLMNET.java,308,59
jsat.classifiers.imbalance,/classifiers/imbalance/BorderlineSMOTE.java,184,16
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SOM.java,338,16
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/LVQ.java,462,28
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/BackPropagationNet.java,46,85 (highest 13)
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/BackPropagationNet.java,145,13
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SGDNetworkTrainer.java,41,109 (highest 13)
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SGDNetworkTrainer.java,151,12
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SGDNetworkTrainer.java,490,13
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SGDNetworkTrainer.java,534,11
jsat.classifiers.svm,/classifiers/svm/SBP.java,180,12
jsat.classifiers.svm,/classifiers/svm/SBP.java,283,11
jsat.classifiers.svm,/classifiers/svm/Pegasos.java,247,10
jsat.classifiers.svm,/classifiers/svm/SupportVectorLearner.java,265,10
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,59,275 (highest 57)
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,198,50
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,478,23
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,633,57
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,822,11
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,853,20
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,919,30
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,1242,31
